1	21282	173496
2	21292	171443
3	21308	170341
4	21315	170164
5	21318	168288
6	21341	167009
7	21371	166517
8	21394	165238
9	21404	164659
10	21427	163380
11	21457	162888
12	21480	161609
13	21513	161480
14	21535	160890
15	21553	160811
16	21554	160728
17	21559	160212
18	21564	160149
19	21587	158870
20	21617	158378
21	21640	157099
22	21673	156970
23	21697	156696
24	21699	156406
25	21707	156117
26	21709	155958
27	21719	155702
28	21725	155682
29	21730	154838
30	21749	154828
31	21752	154635
32	21760	154346
33	21762	154187
34	21772	153549
35	21783	153067
36	21793	153024
37	21816	152938
38	21823	152532
39	21825	151778
40	21846	151253
41	21856	150674
42	21879	149395
43	21909	148903
44	21932	147624
45	21965	147495
46	21977	147334
47	21988	146558
48	22017	146207
49	22030	146199
50	22050	146078
51	22056	145466
52	22073	145141
53	22089	144595
54	22112	144400
55	22127	143900
56	22145	143529
57	22174	143178
58	22183	142834
59	22212	142483
60	22213	142437
61	22230	142112
62	22251	141742
63	22268	141417
64	22269	141371
65	22301	141288
66	22302	141242
67	22307	140676
68	22335	140603
69	22336	140402
70	22349	140317
71	22365	140051
72	22373	139908
73	22374	139707
74	22391	139537
75	22403	139356
76	22404	139310
77	22420	139186
78	22421	138985
79	22429	138842
80	22442	138615
81	22458	138491
82	22459	138290
83	22460	138244
84	22476	138120
85	22493	138115
86	22497	137750
87	22498	137549
88	22514	137425
89	22515	137379
90	22540	137190
91	22553	136684
92	22586	136555
93	22595	136325
94	22620	136288
95	22626	136071
96	22639	136063
97	22640	136035
98	22642	136018
99	22652	135557
100	22665	135330
101	22681	135206
102	22682	135005
103	22715	134876
104	22720	134465
105	22721	134264
106	22737	134140
107	22754	134135
108	22763	133905
109	22776	133399
110	22809	133270
111	22818	133040
112	22843	133003
113	22851	132911
114	22859	132879
115	22863	132750
116	22865	132733
117	22882	132724
118	22888	132708
119	22896	132621
120	22898	132138
121	22920	132117
122	22931	132009
123	22943	131843
124	22962	131758
125	22976	131714
126	22985	131484
127	22987	131472
128	23007	131468
129	23009	131451
130	23010	131447
131	23018	131355
132	23020	131343
133	23026	131323
134	23030	131194
135	23032	131177
136	23041	130901
137	23042	130856
138	23065	130582
139	23083	130542
140	23098	130453
141	23110	130292
142	23128	130252
143	23129	130202
144	23131	130190
145	23143	130163
146	23154	129916
147	23163	129640
148	23185	129619
149	23196	129511
150	23208	129350
151	23209	129300
152	23227	129260
153	23241	129221
154	23242	129171
155	23244	128965
156	23274	128953
157	23277	128836
158	23286	128606
159	23307	128358
160	23319	128146
161	23352	128017
162	23361	127787
163	23366	127704
164	23388	127683
165	23394	127658
166	23399	127575
167	23406	127497
168	23408	127480
169	23411	127409
170	23430	127324
171	23441	126885
172	23463	126864
173	23474	126756
174	23486	126595
175	23505	126505
176	23510	126422
177	23530	126219
178	23533	126148
179	23555	126127
180	23563	126090
181	23566	126019
182	23575	125929
183	23578	125858
184	23585	125603
185	23618	125474
186	23630	125313
187	23649	125287
188	23653	125179
189	23674	124937
190	23677	124866
191	23698	124698
192	23719	124647
193	23722	124576
194	23731	124569
195	23741	124550
196	23742	124513
197	23743	124408
198	23762	124318
199	23766	124200
200	23787	124032
201	23790	123961
202	23797	123897
203	23823	123832
204	23825	123694
205	23835	123671
206	23842	123416
207	23870	123404
208	23875	123287
209	23886	123231
210	23887	123126
211	23906	123100
212	23910	122992
213	23931	122750
214	23934	122679
215	23964	122621
216	23967	122550
217	23976	122460
218	23979	122389
219	23998	122363
220	23999	122326
221	24002	122255
222	24023	122013
223	24037	121988
224	24047	121965
225	24054	121710
226	24082	121507
227	24099	121420
228	24112	121379
229	24115	121308
230	24127	121217
231	24143	121044
232	24146	120973
233	24171	120841
234	24188	120754
235	24191	120683
236	24204	120642
237	24216	120551
238	24235	120307
239	24263	120136
240	24280	120017
241	24294	119801
242	24324	119673
243	24327	119602
244	24339	119511
245	24352	119470
246	24369	119383
247	24372	119312
248	24383	119135
249	24404	119077
250	24416	118936
251	24428	118845
252	24447	118819
253	24449	118787
254	24461	118646
255	24475	118430
256	24507	118386
257	24508	118301
258	24520	118140
259	24524	118108
260	24552	117905
261	24564	117764
262	24585	117706
263	24597	117615
264	24609	117474
265	24616	117371
266	24638	117227
267	24661	117081
268	24688	117015
269	24694	116952
270	24705	116737
271	24730	116490
272	24750	116447
273	24763	116361
274	24764	116199
275	24797	116000
276	24809	115909
277	24819	115856
278	24842	115710
279	24865	115564
280	24878	115318
281	24895	115040
282	24928	114911
283	24945	114828
284	24955	114798
285	24978	114699
286	24980	114688
287	24983	114672
288	24987	114303
289	25020	114174
290	25047	114061
291	25055	114033
292	25059	113947
293	25075	113935
294	25076	113669
295	25103	113648
296	25109	113540
297	25128	113516
298	25135	113131
299	25168	112932
300	25195	112889
301	25201	112803
302	25223	112763
303	25228	112690
304	25236	112662
305	25246	112581
306	25251	112476
307	25274	112455
308	25279	112452
309	25284	112277
310	25305	112043
311	25316	111760
312	25349	111631
313	25376	111518
314	25404	111392
315	25409	111389
316	25414	111346
317	25432	111105
318	25465	110976
319	25486	110672
320	25514	110546
321	25519	110543
322	25524	110500
323	25547	110417
324	25552	110374
325	25557	110371
326	25585	110245
327	25599	110004
328	25617	109895
329	25627	109878
330	25632	109875
331	25645	109769
332	25650	109766
333	25660	109749
334	25671	109648
335	25672	109550
336	25688	109370
337	25709	109158
